season,player_display_name,player_position,player_gsis_id,avg_cushion,avg_separation,avg_intended_air_yards,catch_percentage,avg_yac,avg_expected_yac,avg_yac_above_expectation,total_weeks
2023,Nelson Agholor,WR,00-0031549,6.474603100775194,3.3546116764765292,9.963666666666668,88.22222222222223,2.7932999999999995,3.6458168967186824,-0.8525168967186822,5
2024,Nelson Agholor,WR,00-0031549,6.087999999999999,2.5022224900657655,12.734,60.0,0.8299999999999983,1.8982968671642009,-1.0682968671642026,1
2016,Jaelen Strong,WR,00-0031560,5.758194444444444,2.40356733660744,7.155555555555555,69.44444444444446,2.289999999999999,2.7836065411562,-0.49360654115620106,2
2016,Justin Hardy,WR,00-0031570,3.4114285714285715,1.622060127850909,13.42,57.14285714285714,4.470000000000001,2.9159141630059997,1.554085836994001,1
2017,Justin Hardy,WR,00-0031570,5.116666666666666,3.999424972033642,6.221666666666668,33.33333333333333,2.4549999999999983,3.192972620989167,-0.7379726209891686,1
2018,Justin Hardy,WR,00-0031570,6.488333333333333,2.8750356264941774,8.348571428571429,42.857142857142854,5.293333333333332,5.08017157525228,0.21316175808105253,1
2019,Justin Hardy,WR,00-0031570,6.981999999999999,3.104540213277655,6.030000000000001,80.0,4.282499999999999,5.714184212310685,-1.431684212310686,1
2016,Stefon Diggs,WR,00-0031588,5.320151072896813,2.631006588098359,9.268792247435103,71.18647225790082,3.05875856881214,3.6307378130679546,-0.5719792442558137,14
2017,Stefon Diggs,WR,00-0031588,6.6519234220081,2.919931058414984,11.005018131265665,68.10121895648211,5.264372581845238,4.167409360524286,1.0969632213209515,16
2018,Stefon Diggs,WR,00-0031588,5.7176585007585015,2.6558855009906193,9.226128477786196,66.77317859868195,3.8217356232003294,3.36418449148329,0.45755113171703937,15
2019,Stefon Diggs,WR,00-0031588,4.861876203609499,2.3699468715193293,15.255324856248107,62.87293802111431,5.724873626373626,4.968586166182707,0.7562874601909192,14
2020,Stefon Diggs,WR,00-0031588,5.333199513759799,2.9265930374738223,10.97671181047868,75.50528788480597,3.6177751093613297,3.4213107833605902,0.19646432600073924,20
2021,Stefon Diggs,WR,00-0031588,4.958452629131874,2.6905706354119,11.411299511846815,61.66952431394024,3.385758473854539,3.386012340210228,-0.00025386635568939926,19
2022,Stefon Diggs,WR,00-0031588,5.537637204239155,2.8111526707718255,12.53191543179043,68.52314352314353,4.101040564373897,3.3763113334690775,0.7247292309048198,18
2023,Stefon Diggs,WR,00-0031588,5.915013512876013,2.936511371580388,9.610475356240979,67.27251567876567,4.509935480640854,3.7442581184116497,0.7656773622292048,20
2024,Stefon Diggs,WR,00-0031588,6.833473776641855,2.993677479101974,8.650969742063491,74.07682980599647,4.138723798266351,4.003760082554749,0.13496371571160318,9
2019,Darren Waller,TE,00-0031610,5.564583620398513,3.0573743019209156,7.265313960113961,74.81339031339031,6.683070838420838,5.345079688159296,1.3379911502615423,15
2020,Darren Waller,TE,00-0031610,5.804327461389962,2.9961279645556416,7.925496978144053,74.31166471290712,5.572469128353474,5.039515297374649,0.5329538309788251,16
2021,Darren Waller,TE,00-0031610,6.390453034445993,2.836134263039671,10.042159335476821,60.815856940644714,5.058373126873127,4.346585991286558,0.7117871355865684,13
2022,Darren Waller,TE,00-0031610,6.168595238095238,2.138539384752614,14.102464285714285,62.14285714285713,3.533571428571429,3.086611664962624,0.4469597636088053,7
2023,Darren Waller,TE,00-0031610,5.979615702479339,2.999183934323988,7.698359655700566,68.46514460150824,4.350035464535464,4.31732748806869,0.03270797646677401,11
2017,Jordan Taylor,WR,00-0031697,4.553750000000001,1.719073668588013,11.54,75.0,2.2616666666666654,2.208883078251631,0.05278358841503428,1
2018,DeAndre Carter,WR,00-0031763,6.178611111111111,3.4841749856864204,2.2087460317460317,88.57142857142857,6.0488888888888885,6.438964564255298,-0.39007567536641,3
2019,DeAndre Carter,WR,00-0031763,5.484285714285714,3.4200265827988696,9.077142857142858,85.71428571428571,4.071666666666665,4.427936960006952,-0.3562702933402866,1
2021,DeAndre Carter,WR,00-0031763,7.089533333333333,3.4574337475418857,13.059966666666668,52.666666666666664,3.2348333333333343,3.5243349778782163,-0.28950164454488175,5
2022,DeAndre Carter,WR,00-0031763,7.083497911445281,2.9443657366875677,9.158600122100124,64.49328449328449,4.936394064872327,4.353607765226651,0.5827862996456749,6
2024,DeAndre Carter,WR,00-0031763,6.011666666666667,3.331825358932827,10.616666666666667,50.0,6.736666666666668,5.605038513118416,1.1316281535482524,1
