season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2018,REG,2,Benjamin Watson,TE,NO,3.11,2.836467624567562,4.342000000000001,8.333653218686427,3,5,60.0,19.0,0,2.846666666666664,2.340116590550148,0.506550076116516,00-0022943,Benjamin,Watson,82,B.Watson
2018,REG,2,Travis Kelce,TE,KC,3.1,2.629587046229633,11.851999999999999,36.99241549361716,7,10,70.0,109.0,2,3.3342857142857154,2.1520219831038827,1.1822637311818327,00-0030506,Travis,Kelce,87,T.Kelce
2018,REG,3,Kyle Rudolph,TE,MIN,10.233333333333334,4.702556319175833,8.775,16.623516039403892,5,6,83.33333333333334,48.0,1,2.097999999999999,1.8589741356716787,0.2390258643283203,00-0027981,Kyle,Rudolph,82,K.Rudolph
2018,REG,3,Jimmy Graham,TE,GB,9.97,3.667922790015657,5.281428571428572,10.542675449853139,5,7,71.42857142857143,45.0,0,4.284000000000001,2.8070736848540037,1.476926315145997,00-0027696,Jimmy,Graham,80,J.Graham
2018,REG,3,Jordan Reed,TE,WAS,9.063333333333333,2.589506019455381,8.55,29.865269461077848,4,7,57.14285714285714,65.0,0,7.8025,3.620186505338893,4.182313494661107,00-0030472,Jordan,Reed,86,J.Reed
2018,REG,3,Jared Cook,TE,LV,7.602500000000001,2.235127031178721,0.07500000000000166,0.1888851578240472,5,6,83.33333333333334,31.0,0,5.977999999999999,6.49620761944629,-0.518207619446291,00-0027061,Jared,Cook,87,J.Cook
2018,REG,3,Zach Ertz,TE,PHI,7.061249999999999,3.385750062635573,8.043,29.550297597178343,5,10,50.0,73.0,0,6.264,5.796432008779538,0.467567991220462,00-0030061,Zachary,Ertz,86,Z.Ertz
2018,REG,3,Nick Vannett,TE,SEA,6.82,3.4992972112481424,8.187999999999999,18.660832307762433,4,5,80.0,27.0,0,2.892500000000001,3.2672103230641483,-0.3747103230641473,00-0032394,Nicholas,Vannett,81,N.Vannett
2018,REG,3,Rob Gronkowski,TE,NE,6.692,2.9165828084213383,14.952000000000002,26.86889016676251,4,5,80.0,51.0,0,2.119999999999999,1.8169129709323215,0.3030870290676777,00-0027656,Robert,Gronkowski,87,R.Gronkowski
2018,REG,3,Geoff Swaim,TE,DAL,6.598000000000001,4.1415715679519485,4.471428571428571,17.62685138255336,5,7,71.42857142857143,47.0,0,4.424,4.00192621991589,0.42207378008411034,00-0032141,Geoffrey,Swaim,87,G.Swaim
2018,REG,3,Dallas Goedert,TE,PHI,6.5200000000000005,4.982825322704392,7.958571428571426,20.468072599015354,7,7,100.0,73.0,1,2.8114285714285736,2.497216931620447,0.3142116398081267,00-0034351,Dallas,Goedert,88,D.Goedert
2018,REG,3,Tyler Eifert,TE,CIN,6.301666666666667,1.8877326992916639,12.34625,21.62452107279693,6,8,75.0,74.0,0,3.643333333333332,3.2430070596973906,0.40032627363594164,00-0030549,Tyler,Eifert,85,T.Eifert
2018,REG,3,Eric Ebron,TE,IND,6.2942857142857145,5.456043274407136,9.086363636363638,30.453991468616703,5,11,45.45454545454545,33.0,0,4.378,4.910357843684233,-0.5323578436842329,00-0031387,Eric,Ebron,85,E.Ebron
2018,REG,3,Ian Thomas,TE,CAR,6.166,2.8121035631793316,5.392000000000001,12.381171067738235,3,5,60.0,20.0,0,1.0933333333333313,1.823212439822252,-0.7298791064889207,00-0034365,Ian,Thomas,80,I.Thomas
2018,REG,3,Travis Kelce,TE,KC,5.734444444444445,3.4854071799195587,6.996,17.01030927835052,8,10,80.0,114.0,0,7.045,5.109624145328667,1.9353758546713333,00-0030506,Travis,Kelce,87,T.Kelce
2018,REG,3,George Kittle,TE,SF,5.648333333333333,5.525975435789986,7.145714285714285,18.87974635766588,5,7,71.42857142857143,79.0,0,10.558000000000002,6.864874912052628,3.693125087947374,00-0033288,George,Kittle,85,G.Kittle
2018,REG,3,Austin Seferian-Jenkins,TE,JAX,5.243333333333333,2.6866276890638408,6.002,21.703912634700217,3,5,60.0,18.0,0,1.1433333333333355,1.6814065638040272,-0.5380732304706917,00-0031418,Austin,Seferian-Jenkins,88,A.Seferian-Jenkins
2018,REG,3,Trey Burton,TE,CHI,4.390000000000001,2.3451929218740815,8.916,13.10367126186767,4,5,80.0,55.0,0,4.0325000000000015,3.866464154634997,0.1660358453650046,00-0030710,Lawrence,Burton,80,T.Burton
2018,REG,3,Benjamin Watson,TE,NO,4.340000000000001,2.35684179773509,10.810000000000002,25.25209266108624,5,6,83.33333333333334,71.0,0,3.7039999999999993,3.9278925944533514,-0.22389259445335208,00-0022943,Benjamin,Watson,82,B.Watson
2018,REG,3,Devin Funchess,WR,CAR,4.138333333333333,2.8455815716794595,14.102857142857143,45.33639494833525,4,7,57.14285714285714,67.0,1,3.337500000000002,2.516381667692656,0.8211183323073463,00-0032055,Devin,Funchess,17,D.Funchess
2018,REG,3,O.J. Howard,TE,TB,2.8825000000000003,3.2399835989392187,8.255,12.02454434551447,6,8,75.0,72.0,0,5.798333333333332,5.274765958014349,0.5235673753189829,00-0033879,O'Terrius,Howard,80,O.Howard
2018,REG,3,Antonio Gates,TE,LAC,2.3659999999999997,1.81872405331959,10.355999999999998,18.54186063166941,3,5,60.0,45.0,0,7.876666666666668,11.37172706249612,-3.4950603958294524,00-0021547,Antonio,Gates,85,A.Gates
2018,REG,4,Charles Clay,TE,BUF,9.423333333333334,4.0417115979859455,3.3383333333333325,6.5931533903884105,4,6,66.66666666666666,40.0,0,5.547499999999999,6.710566082229661,-1.163066082229662,00-0028112,Charles,Clay,85,C.Clay
2018,REG,4,Maxx Williams,TE,BAL,8.395,5.773993205981721,1.75,2.4277905718487287,5,5,100.0,51.0,0,8.45,6.71522324737075,1.7347767526292497,00-0031558,Maxx,Williams,87,M.Williams
2018,REG,4,Eric Ebron,TE,IND,7.821111111111112,2.57881177524935,7.604999999999999,15.12108800254503,5,10,50.0,40.0,1,1.024000000000001,1.012958777218057,0.01104122278194386,00-0031387,Eric,Ebron,85,E.Ebron
2018,REG,4,Jeff Heuerman,TE,DEN,7.343999999999999,4.490020263629238,6.515714285714284,17.30995483699571,4,7,57.14285714285714,57.0,0,7.485000000000001,6.305137537574524,1.1798624624254774,00-0032227,Jeff,Heuerman,82,J.Heuerman
2018,REG,4,Vance McDonald,TE,PIT,6.286666666666666,4.230212984425565,2.707999999999997,4.197538518771115,5,5,100.0,62.0,0,9.756000000000004,5.825436969209477,3.930563030790527,00-0030470,Vance,McDonald,89,V.McDonald
