season,player_display_name,player_position,player_gsis_id,avg_intended_air_yards,avg_time_to_throw,avg_completed_air_yards,total_weeks
2022,Matt Ryan,QB,00-0026143,6.4874476155957606,2.6851902133997907,5.390792864598589,13
2016,Joe Flacco,QB,00-0026158,7.7678032779153545,2.558903655016349,5.28683639824937,17
2017,Joe Flacco,QB,00-0026158,6.416488117089629,2.6075563242315845,4.207091625130098,17
2018,Joe Flacco,QB,00-0026158,8.36706440788755,2.718577374269167,5.909938118830196,10
2019,Joe Flacco,QB,00-0026158,6.784203315129449,2.6482658958043013,5.1140379948186965,9
2020,Joe Flacco,QB,00-0026158,11.232140168970815,2.8932507516960646,7.248047104247105,5
2021,Joe Flacco,QB,00-0026158,7.699714285714284,2.543794871794871,5.48875,1
2022,Joe Flacco,QB,00-0026158,8.308174197513015,2.7385827907738722,5.658765251865251,5
2023,Joe Flacco,QB,00-0026158,8.769994376467649,3.000662280240796,7.098486856661323,7
2024,Joe Flacco,QB,00-0026158,8.772178883309564,2.697480143642357,6.595817445814049,8
2020,Chad Henne,QB,00-0026197,4.483870967741935,2.36553125,1.6647826086956528,1
2021,Chad Henne,QB,00-0026197,6.35,2.4478125000000004,4.714545454545454,1
2018,Josh Johnson,QB,00-0026300,8.960212359098229,3.0468966435185183,5.070650495337995,4
2021,Josh Johnson,QB,00-0026300,7.83970006591958,2.701659451219512,6.1826917989418,2
2016,Matthew Stafford,QB,00-0026498,7.836579919842499,2.554970224113565,5.731961252440202,18
2017,Matthew Stafford,QB,00-0026498,8.12388672388551,2.65240461916481,5.94999166472279,17
2018,Matthew Stafford,QB,00-0026498,6.937116789967284,2.6193464997709093,4.692184489174641,17
2019,Matthew Stafford,QB,00-0026498,10.936426722071229,2.6839706641580565,8.31897189849608,9
2020,Matthew Stafford,QB,00-0026498,9.025827648293246,2.6480635694824386,6.758240890176888,16
2021,Matthew Stafford,QB,00-0026498,8.610840749952557,2.7879168748222463,6.81944991643525,22
2022,Matthew Stafford,QB,00-0026498,7.054740865978701,2.7192306758734235,4.996221429186832,10
2023,Matthew Stafford,QB,00-0026498,7.869605195663638,2.693543409785508,6.35631215420629,17
2024,Matthew Stafford,QB,00-0026498,7.744807675994548,2.7571679107362113,6.002410265806807,19
2018,Chase Daniel,QB,00-0026544,8.648392238392239,2.65313963963964,6.307044159544159,2
2019,Chase Daniel,QB,00-0026544,6.519666666666668,2.6636166666666665,6.261590909090909,2
2020,Chase Daniel,QB,00-0026544,4.166470588235294,2.237555555555555,3.039230769230769,1
2016,Brian Hoyer,QB,00-0026625,7.969681232399938,2.495811898064652,5.763333469018543,5
2017,Brian Hoyer,QB,00-0026625,7.708508447034006,2.4400780729522684,5.6075279748337215,6
2019,Brian Hoyer,QB,00-0026625,8.610635897435898,2.629435897435897,6.082581699346406,2
2020,Brian Hoyer,QB,00-0026625,7.659999999999999,2.390041666666667,4.645999999999999,1
2023,Brian Hoyer,QB,00-0026625,6.885312500000001,2.3856875000000004,4.265882352941177,1
2016,Mark Sanchez,QB,00-0026898,3.8529411764705883,2.651529411764706,3.693333333333333,1
2018,Mark Sanchez,QB,00-0026898,6.5566666666666675,2.689095238095238,2.045384615384616,1
2018,Colt McCoy,QB,00-0027688,8.984210526315788,2.5598421052631584,6.756666666666668,1
2019,Colt McCoy,QB,00-0027688,6.294444444444445,2.4353333333333333,4.962777777777777,1
2020,Colt McCoy,QB,00-0027688,8.938760997067448,2.616555718475073,6.363663967611336,2
2021,Colt McCoy,QB,00-0027688,5.606703030303028,2.420547086247086,3.581878787878787,3
2022,Colt McCoy,QB,00-0027688,6.154832251082251,2.355840772863199,4.119892272079772,4
2016,Sam Bradford,QB,00-0027854,6.7563194019492565,2.467780988512007,5.0680246572748935,16
2017,Sam Bradford,QB,00-0027854,7.892500000000002,2.5682812499999996,8.178518518518521,1
2018,Sam Bradford,QB,00-0027854,6.505277682222986,2.513947081756679,4.078375565610861,3
2016,Cam Newton,QB,00-0027939,10.94764419031644,2.6927614766621577,8.403246675149527,16
2017,Cam Newton,QB,00-0027939,8.316744769210745,2.7323987294798346,5.798012801004033,18
2018,Cam Newton,QB,00-0027939,7.005853177044994,2.6739981960748618,5.02660197284225,15
2019,Cam Newton,QB,00-0027939,8.13895752895753,2.3556036036036034,6.837,2
2020,Cam Newton,QB,00-0027939,6.994837305738566,2.8078854375862554,5.506450881718797,15
2021,Cam Newton,QB,00-0027939,6.986188463308028,2.5187721174917974,6.325571428571428,4
2016,Blaine Gabbert,QB,00-0027948,9.188741734705804,2.492538972404959,6.596395384979945,6
2017,Blaine Gabbert,QB,00-0027948,9.190313802393426,2.4174012599726122,6.642909838190991,6
2018,Blaine Gabbert,QB,00-0027948,6.526864811912226,2.3730672413793106,4.722225135975135,4
2020,Blaine Gabbert,QB,00-0027948,7.283333333333332,2.1843999999999992,6.989999999999998,1
2023,Blaine Gabbert,QB,00-0027948,5.0472413793103446,2.3192666666666666,2.652666666666667,1
2016,Andy Dalton,QB,00-0027973,8.5739087505588,2.514294685529767,6.713434521114525,17
2017,Andy Dalton,QB,00-0027973,8.150993225169874,2.504387510541585,5.224099014014141,17
2018,Andy Dalton,QB,00-0027973,8.342685149666268,2.6130746661493984,5.942830846415762,12
2019,Andy Dalton,QB,00-0027973,7.998113714467982,2.518160599557838,5.849529551605556,14
2020,Andy Dalton,QB,00-0027973,7.004053759390475,2.4604983112897827,5.126080766802472,10
2021,Andy Dalton,QB,00-0027973,7.580711424616389,2.64862362647382,5.147820573038694,7
2022,Andy Dalton,QB,00-0027973,7.751335192230453,2.627071668035383,5.964915929231874,15
2023,Andy Dalton,QB,00-0027973,7.75,2.4991034482758625,6.414705882352941,1
2024,Andy Dalton,QB,00-0027973,6.503429236929239,2.576398974844205,4.869049908861229,6
2016,Colin Kaepernick,QB,00-0027974,8.429929840660563,2.7785496817177426,5.822117662473718,11
2017,T.J. Yates,QB,00-0028090,9.989136553970225,2.767435380479735,6.89032738095238,4
2016,Tyrod Taylor,QB,00-0028118,9.761348731415179,3.1054462175756994,7.334574030932463,16
2017,Tyrod Taylor,QB,00-0028118,8.255049035213078,3.0375699543794776,5.1801955563214035,17
2018,Tyrod Taylor,QB,00-0028118,9.105333333333332,2.759820512820513,7.20710606060606,2
2020,Tyrod Taylor,QB,00-0028118,11.569655172413793,2.7707666666666664,7.719999999999998,1
2021,Tyrod Taylor,QB,00-0028118,7.767225996136547,2.779242745956504,5.432250377073905,5
2023,Tyrod Taylor,QB,00-0028118,9.962861488811331,2.8595789125132813,7.514608305966064,6
2016,Scott Tolzien,QB,00-0028595,11.21222222222222,2.640416666666666,6.122727272727275,1
2017,Scott Tolzien,QB,00-0028595,9.126111111111111,2.5161666666666664,5.7044444444444435,1
2016,Case Keenum,QB,00-0028986,8.373288302594855,2.374634132166734,6.330436036914766,10
2017,Case Keenum,QB,00-0028986,7.497993803704345,2.7832537920009006,5.293366045791536,18
2018,Case Keenum,QB,00-0028986,7.4939440899773375,2.7015447094479934,5.752258184342841,17
2019,Case Keenum,QB,00-0028986,7.023764113054084,2.759335658220405,5.99501842948718,8
2021,Case Keenum,QB,00-0028986,5.814583333333333,2.5691496212121216,3.5553501400560226,2
2023,Case Keenum,QB,00-0028986,7.452500000000001,2.7674158496732026,3.5897826086956526,2
