carries,rushing_yards,rushing_tds,rushing_first_downs,receptions,targets,receiving_yards,receiving_yards_after_catch,receiving_first_downs,target_share,wopr_x,fantasy_points_ppr,tgt_sh,yac_sh,wopr_y,ry_sh,yptmpa,ppr_sh,player_id,player_name,season,team
225,849.0,7,55.0,42,51,301.0,273.0,18.0,1.5726456478236837,2.4909998925813306,195.0,0.1172413793103448,0.2049549549549549,0.1861890913407324,0.1009051290646999,0.6919540229885057,0.1947623898843411,00-0035685,David Montgomery,2021,CHI
201,801.0,5,41.0,34,40,316.0,283.0,10.0,1.9528312326212447,3.1618682903140747,177.70000000000002,0.1126760563380281,0.2630111524163568,0.1817322889958203,0.1303630363036303,0.8901408450704226,0.1618603464922667,00-0035685,David Montgomery,2022,CHI
219,1015.0,13,59.0,16,24,117.0,149.0,7.0,0.7809251741138399,1.108907496806653,207.2,0.0496894409937888,0.084038353073886,0.0699308907456802,0.0307328605200945,0.2422360248447205,0.1429971428177062,00-0035685,David Montgomery,2023,DET
242,1150.0,7,53.0,20,27,166.0,183.0,8.0,0.9088978524462396,1.2332800608605006,191.6,0.0653753026634382,0.1105072463768116,0.0882893284112551,0.0524320909665192,0.4019370460048426,0.1735130044193291,00-0035700,Josh Jacobs,2019,OAK
273,1065.0,12,61.0,33,45,238.0,238.0,9.0,1.4210936030700827,2.209748016227273,231.3,0.0892857142857142,0.1261930010604454,0.1405401416765053,0.0594702648675662,0.4722222222222222,0.1643129120254603,00-0035700,Josh Jacobs,2020,LV
217,872.0,9,45.0,54,64,348.0,395.0,14.0,1.8913345340377092,2.708537378593481,226.0,0.1167883211678832,0.2024602767811378,0.1702878522480858,0.0861386138613861,0.635036496350365,0.1731668071412152,00-0035700,Josh Jacobs,2021,LV
340,1653.0,12,93.0,53,64,400.0,374.0,16.0,1.9650771764152417,2.988105886183328,328.3,0.1092150170648464,0.2101123595505618,0.1690473809807366,0.0956480153036824,0.6825938566552902,0.2245277599201192,00-0035700,Josh Jacobs,2022,LV
233,805.0,6,34.0,37,54,296.0,293.0,15.0,1.755214730213133,2.684848841427213,181.1,0.1282660332541567,0.2281931464174454,0.2020345490888421,0.1056765440913959,0.7030878859857482,0.2059264986809788,00-0035700,Josh Jacobs,2023,LV
51,256.0,2,12.0,8,9,105.0,90.0,3.0,0.2961897663976771,0.4673903643203624,56.1,0.028125,0.069284064665127,0.0458268713813068,0.0478142076502732,0.328125,0.0697900079617834,00-0035715,Derrick Gore,2021,KC
3,26.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,2.6000000000000005,0.0,0.0,0.0,0.0,0.0,0.018410989944767,00-0035715,Derrick Gore,2023,WAS
