receptions,targets,receiving_yards,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,target_share,air_yards_share,wopr_x,fantasy_points_ppr,tgt_sh,ay_sh,wopr_y,ry_sh,rfd_sh,rtdfd_sh,w8dom,yptmpa,ppr_sh,player_id,player_name,season
24,38,238.0,294.0,117.0,14.0,1.216050869208764,1.000696952923069,2.524564170859294,61.8,0.0954773869346733,0.0879449596171103,0.2135720480956983,0.0841286673736302,0.0933333333333333,0.0988372093023255,0.0945756611716314,0.5979899497487438,0.0557932939710741,00-0036232,Harrison Bryant,2020
21,28,233.0,258.0,79.0,14.0,1.0325836936977368,1.2659814307779371,2.435062542091161,62.3,0.0707070707070707,0.0796050601666152,0.1697446541938982,0.0860413589364844,0.1029411764705882,0.1133333333333333,0.1116902300063304,0.5883838383838383,0.0612935597489226,00-0036232,Harrison Bryant,2021
31,42,239.0,238.0,113.0,12.0,1.3944334015657545,0.9862581986933192,2.782030841433955,61.7,0.0923076923076923,0.0638926174496644,0.18957563242127,0.0776730581735456,0.0794701986754966,0.0778443113772455,0.0746384465388365,0.5252747252747253,0.0545496339781447,00-0036232,Harrison Bryant,2022
13,20,81.0,81.0,35.0,4.0,0.5688586818511047,0.2358641826866564,1.0183929506573166,37.9,0.0416666666666666,0.0185100548446069,0.0773080438756855,0.0257142857142857,0.0296296296296296,0.0460526315789473,0.0558655462184874,0.16875,0.0352820703779556,00-0036232,Harrison Bryant,2023
9,12,86.0,41.0,71.0,5.0,0.3658891033891034,0.1964604401757329,0.6863559632066681,17.6,0.0670391061452514,0.033091202582728,0.1270316212840595,0.0829315332690453,0.0925925925925925,0.087719298245614,0.0663452266152362,0.4804469273743016,0.0520740872240961,00-0036232,Harrison Bryant,2024
2,2,16.0,11.0,5.0,2.0,0.0625,0.0484581497797356,0.1276707048458149,3.6,0.0625,0.0484581497797356,0.1325165198237885,0.0669456066945606,0.1111111111111111,0.0909090909090909,0.0535564853556485,0.5,0.0300350408810278,00-0036244,Colby Parkinson,2020
5,8,33.0,47.0,20.0,2.0,0.2906359381359381,0.1791819239555773,0.5613812539728114,8.3,0.0567375886524822,0.0339105339105339,0.1122348101071505,0.0288209606986899,0.037037037037037,0.0307692307692307,0.0230567685589519,0.2340425531914893,0.0178188063546586,00-0036244,Colby Parkinson,2021
25,34,322.0,278.0,150.0,14.0,1.0811960632536304,1.0907458656770277,2.3853162008543647,69.2,0.0708333333333333,0.0780898876404494,0.1687219101123595,0.0922900544568644,0.0813953488372093,0.0812182741116751,0.0898320435654915,0.6708333333333333,0.0544256209397071,00-0036244,Colby Parkinson,2022
25,34,247.0,218.0,86.0,11.0,1.0881091813753103,1.0024934339147469,2.3339091758032886,61.7,0.074398249452954,0.0664229128580134,0.1647357044658418,0.0738857313790009,0.0738255033557047,0.0783132530120482,0.0826379968679066,0.5404814004376368,0.0558057922251768,00-0036244,Colby Parkinson,2023
30,49,294.0,263.0,160.0,15.0,1.5539585822641857,1.0701017535429866,3.080009100876369,65.4,0.1044776119402985,0.0778567199526347,0.2190017938725555,0.0838801711840228,0.0920245398773006,0.087431693989071,0.0771041369472182,0.6268656716417911,0.0528527557782447,00-0036244,Colby Parkinson,2024
