receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,target_share,air_yards_share,wopr_x,fantasy_points_ppr,wopr_y,ry_sh,rfd_sh,rtdfd_sh,w8dom,yptmpa,ppr_sh,tgt_sh,player_id,player_name,season
1,1,1.0,0,-1.0,2.0,0.0,0.0476190476190476,-0.0045045045045045,0.0682754182754182,1.1,0.0678249678249678,0.0055865921787709,0.0,0.0,,0.0476190476190476,0.0252525252525252,0.0476190476190476,00-0031315,Matt Hazel,2017
6,8,31.0,0,49.0,33.0,1.0,0.3361733094491715,0.2872330327479829,0.7053230870973454,7.700000000000001,0.0871871640287965,0.0234138972809667,0.0175438596491228,0.015625,0.0187311178247734,0.1573604060913705,0.016965584100824,0.0406091370558375,00-0031319,Diontae Spencer,2019
3,6,26.0,0,33.0,12.0,1.0,0.1644940840473276,0.0913923503670722,0.310715771327942,13.5,0.066446274287105,0.0199846272098385,0.0169491525423728,0.0151515151515151,0.0159877017678708,0.146067415730337,0.0323012872661147,0.0337078651685393,00-0031319,Diontae Spencer,2020
1,4,-3.0,0,9.0,0.0,0.0,0.1372651222651222,0.0421294655165622,0.235388309259277,0.7,0.0546852367688022,-0.0034090909090909,0.0,0.0,-0.0027272727272727,-0.024,0.0021289537712895,0.032,00-0031319,Diontae Spencer,2021
28,52,430.0,2,745.0,52.0,20.0,1.8099363002588809,2.7156559040719985,4.6158635832387205,83.0,0.6177768421734449,0.254739336492891,0.2631578947368421,0.2558139534883721,0.2437914691943128,1.9026548672566368,0.1258300233467754,0.2300884955752212,00-0031325,Sammy Watkins,2016
39,70,593.0,8,1009.0,185.0,33.0,2.2716673208230422,4.150804638564778,6.313064228229908,146.3,0.4291398354059668,0.1538661131292164,0.1853932584269663,0.1990291262135922,0.1802357476462302,1.225206611570248,0.1050507661597231,0.1446280991735537,00-0031325,Sammy Watkins,2017
40,55,519.0,3,460.0,238.0,24.0,1.6843833999551132,1.575544346652332,3.6294561425893024,115.1,0.3376837683768377,0.1535957383841373,0.1538461538461538,0.1413612565445026,0.140019447850167,1.4297520661157024,0.0946810785910534,0.1515151515151515,00-0031325,Sammy Watkins,2018
52,90,673.0,3,854.0,297.0,30.0,2.482067126384353,3.059134452429637,5.864494806277277,138.5,0.459859188338293,0.172431462977197,0.1657458563535911,0.1609756097560975,0.1629451703817576,1.4258474576271187,0.1041807705615982,0.1906779661016949,00-0031325,Sammy Watkins,2019
37,55,421.0,2,443.0,157.0,27.0,1.454047914612911,1.5021936518773893,3.232607428233539,87.4,0.3040505038595223,0.1324315822585718,0.1666666666666666,0.1559139784946236,0.1226119324735241,1.0293398533007334,0.0796820013493062,0.1344743276283618,00-0031325,Sammy Watkins,2020
27,49,394.0,1,630.0,107.0,17.0,1.543832775065832,2.0751884307137383,3.7683810640983646,70.4,0.3397539148855649,0.1396172927002126,0.1307692307692307,0.1267605633802817,0.1283605008268367,1.012853470437018,0.0733807250515958,0.1259640102827763,00-0031325,Sammy Watkins,2021
16,27,325.0,0,354.0,126.0,11.0,0.8960960516813512,1.654946232979338,2.5026064406075634,46.5,0.2599315068493151,0.1597836774827925,0.125,0.1089108910891089,0.127826941986234,1.1130136986301369,0.0646677606875643,0.0924657534246575,00-0031325,Sammy Watkins,2022
29,57,330.0,2,562.0,136.0,14.0,1.64114763340169,1.54817371771811,3.545443052505212,75.7,0.3335985020842159,0.1128977078344166,0.0979020979020979,0.0958083832335329,0.1069848329342,0.8439897698209718,0.0757894315292044,0.1457800511508951,00-0031326,Bruce Ellington,2017
31,42,224.0,1,204.0,108.0,14.0,1.2895646318496614,0.7888608708518051,2.4865495573707554,59.6,0.345819202432464,0.1338912133891213,0.1707317073170731,0.1685393258426966,0.1356843992827256,0.9411764705882352,0.1096555784515749,0.1764705882352941,00-0031326,Bruce Ellington,2018
30,56,307.0,7,576.0,78.0,22.0,1.6048393720807514,1.853097351534206,3.704427204195071,102.6,0.4232454274307859,0.1264415156507413,0.176,0.2013888888888889,0.1748374230469088,0.941717791411043,0.1232402825157353,0.1717791411042944,00-0031339,Donte Moncrief,2016
