,Round,,Pick #,,Next Pick,On Deck,,,,,,,,Top minus bottom,,,,,,,10.00
,1,,1,,Todd,Cooper,,,,League Site,ESPN,League Type:,Standard,ESPN Rank,,,,,,,SM
,,,,,,,,,,,,,,,,,,,,,
,,,,Click to Draft Player,,,,,,From ESPN,,From FantasyPros.com,,Avg Rank,Dynasty,SleeperPPR,,,,Custom,
Default Rank,Owner,Pick #,Drafted,Draft,Player,Pos,Team,Bye,Status,ESPN Rank,ESPN ADP,Avg Rank,Avg ADP,Diff,Rank,ADP,ESPN - Sleeper ADP,VBD,Prj Points,Rank,
95,,,No,FALSE,J.K. Dobbins,RB,DEN,12,,95,118.0,109,116.0,-14,176,123.1,-5.1,30,118.6,,
96,,,No,FALSE,Khalil Shakir,WR,BUF,7,Q: Aug 23,96,118.9,108,92.0,-12,91,83.1,35.8,15,109.8,,
97,,,No,FALSE,Jauan Jennings,WR,SF,14,Q: Aug 16,97,121.3,95,96.0,2,109,95.6,25.7,29,128.2,,
98,,,No,FALSE,Deebo Samuel,WR,WSH,12,,98,112.4,87,83.5,11,111,86.0,26.4,32,130.7,,
99,,,No,FALSE,Ricky Pearsall,WR,SF,14,,99,122.6,91,100.0,8,85,101.5,21.1,17,114.6,,
100,,,No,FALSE,Keon Coleman,WR,BUF,7,,100,120.9,126,125.5,-26,112,119.4,1.4,19,118.2,,
101,,,No,FALSE,Michael Pittman Jr.,WR,IND,11,,101,126.3,124,114.5,-23,98,115.5,10.8,14,107.7,,
102,,,No,FALSE,Jayden Reed,WR,GB,5,Q: Aug 16,102,127.3,84,100.0,18,96,99.2,28.1,27,126.0,,
103,,,No,FALSE,Justin Herbert,QB,LAC,12,,103,107.7,92,111.5,11,53,105.3,2.4,20,283.5,,
104,,,No,FALSE,Caleb Williams,QB,CHI,5,,104,127.4,97,104.5,7,67,118.5,8.9,13,276.9,,
105,,,No,FALSE,Dak Prescott,QB,DAL,10,,105,115.2,85,108.0,20,115,121.4,-6.2,14,278.0,,
106,,,No,FALSE,Justin Fields,QB,NYJ,9,,106,126.3,83,116.5,23,140,136.2,-9.9,26,290.0,,
107,,,No,FALSE,Keenan Allen,WR,FA,,,107,155.7,210,180.0,-103,213,215.2,-59.5,9,98.5,,
108,,,No,FALSE,Darnell Mooney,WR,ATL,5,Q: Aug 22,108,135.3,123,120.5,-15,121,111.5,23.8,16,112.4,,
109,,,No,FALSE,Josh Downs,WR,IND,11,,109,152.1,112,111.5,-3,86,101.8,50.3,9,99.2,,
110,,,No,FALSE,Rashid Shaheed,WR,NO,11,,110,135.5,129,144.0,-19,128,134.2,1.3,17,114.1,,
111,,,No,FALSE,Jayden Higgins,WR,HOU,6,,111,137.9,170,123.5,-59,89,116.0,21.9,3,86.2,,
112,,,No,FALSE,Emeka Egbuka,WR,TB,9,,112,128.6,114,114.0,-2,55,108.0,20.6,4,88.8,,
113,,,No,FALSE,Tucker Kraft,TE,GB,5,,113,114.5,90,115.0,23,77,117.4,-2.9,14,92.5,,
114,,,No,FALSE,Austin Ekeler,RB,WSH,12,,114,134.4,139,133.0,-25,218,151.3,-16.9,22,109.9,,
115,,,No,FALSE,Travis Etienne Jr.,RB,JAX,8,,115,129.6,98,89.5,17,117,93.1,36.5,21,108.8,,
116,,,No,FALSE,Tyjae Spears,RB,TEN,10,Q: Sep 7,116,141.5,116,108.0,0,144,124.7,16.8,16,100.7,,
117,,,No,FALSE,Tank Bigsby,RB,JAX,8,,117,140.9,104,119.0,13,152,142.0,-1.1,17,102.0,,
118,,,No,FALSE,Jerome Ford,RB,CLE,9,,118,145.9,141,134.5,-23,196,177.2,-31.3,11,91.1,,
119,,,No,FALSE,Rachaad White,RB,TB,9,Q: Aug 16,119,144.4,127,124.0,-8,147,137.9,6.5,17,101.5,,
120,,,No,FALSE,Jordan Mason,RB,MIN,6,,120,142.7,89,106.5,31,150,110.0,32.7,27,114.8,,
121,,,No,FALSE,Drake Maye,QB,NE,14,,121,151.7,102,127.5,19,64,139.9,11.8,5,261.2,,
122,,,No,FALSE,Jordan Love,QB,GB,5,Q: Aug 23,122,132.5,107,129.0,15,78,125.0,7.5,8,266.7,,
123,,,No,FALSE,Jared Goff,QB,DET,8,,123,125.8,100,98.5,23,114,91.8,34.0,15,278.5,,
124,,,No,FALSE,J.J. McCarthy,QB,MIN,6,,124,138.5,131,133.5,-7,104,141.4,-2.9,13,275.9,,
125,,,No,FALSE,Colston Loveland,TE,CHI,5,,125,126.1,132,113.0,-7,62,107.1,19.0,1,75.3,,
126,,,No,FALSE,Dallas Goedert,TE,PHI,9,,126,125.1,119,137.5,7,132,127.8,-2.7,8,85.7,,
127,,,No,FALSE,Jake Ferguson,TE,DAL,10,Q: Aug 16,127,138.5,133,122.5,-6,133,119.7,18.8,5,82.5,,
128,,,No,FALSE,Dalton Kincaid,TE,BUF,7,,128,136.9,115,128.5,13,84,113.1,23.8,5,83.3,,
129,,,No,FALSE,Tyler Warren,TE,IND,11,,129,133.8,110,109.5,19,59,95.2,38.6,10,88.4,,
130,,,No,FALSE,Trey Benson,RB,ARI,8,,130,159.5,138,139.5,-8,131,165.6,-6.1,13,95.2,,
131,,,No,FALSE,Quinshon Judkins,RB,CLE,9,,131,145.2,120,81.0,11,69,71.6,73.6,20,108.2,,
132,,,No,FALSE,Dylan Sampson,RB,CLE,9,,132,160.0,162,156.5,-30,166,171.9,-11.9,9,86.0,,
133,,,No,FALSE,Zach Charbonnet,RB,SEA,8,,133,153.4,111,103.0,22,125,112.4,41.0,19,107.2,,
134,,,No,FALSE,Tyler Allgeier,RB,ATL,5,,134,163.5,135,149.5,-1,183,175.1,-11.6,7,82.7,,
135,,,No,FALSE,Najee Harris,RB,LAC,12,Out: Aug 16,135,160.6,106,102.0,29,126,103.0,57.6,19,105.9,,
136,,,No,FALSE,Adam Thielen,WR,CAR,14,,136,155.9,166,183.5,-30,207,169.1,-13.2,4,89.0,,
137,,,No,FALSE,Xavier Legette,WR,CAR,14,,137,160.1,175,176.0,-38,156,178.8,-18.7,3,86.2,,
138,,,No,FALSE,Cedric Tillman,WR,CLE,9,,138,165.5,154,177.0,-16,139,188.2,-22.8,5,90.2,,
139,,,No,FALSE,Hollywood Brown,WR,KC,10,Q: Aug 15,139,165.5,158,151.5,-19,154,172.0,-6.5,6,92.6,,
140,,,No,FALSE,Brandon Aiyuk,WR,SF,14,Out: Sep 7,140,161.5,121,111.0,19,76,104.6,56.9,10,101.3,,
141,,,No,FALSE,Hunter Henry,TE,NE,14,Q: Aug 16,141,160.9,151,153.5,-10,173,167.7,-6.8,2,78.3,,
142,,,No,FALSE,Kyle Pitts Sr.,TE,ATL,5,,142,141.0,125,138.0,17,113,125.8,15.2,5,82.8,,
143,,,No,FALSE,Tua Tagovailoa,QB,MIA,12,,143,162.9,134,151.5,9,146,197.1,-34.2,0,250.8,,
144,,,No,FALSE,Matthew Stafford,QB,LAR,8,Q: Aug 16,144,163.2,143,164.0,1,178,191.6,-28.4,3,255.6,,
145,,,No,FALSE,C.J. Stroud,QB,HOU,6,,145,145.7,118,129.0,27,68,122.6,23.1,9,269.0,,
146,,,No,FALSE,Jaylen Wright,RB,MIA,12,,146,169.0,152,161.5,-6,168,197.1,-28.1,2,72.9,,
147,,,No,FALSE,Bhayshul Tuten,RB,JAX,8,,147,169.6,163,139.5,-16,135,145.1,24.5,2,71.9,,
148,,,No,FALSE,Braelon Allen,RB,NYJ,9,,148,168.1,147,156.5,1,159,195.4,-27.3,0,68.4,,
149,,,No,FALSE,Isaac Guerendo,RB,SF,14,Q: Aug 16,149,167.5,140,135.0,9,161,147.8,19.7,7,83.2,,
150,,,No,FALSE,MarShawn Lloyd,RB,GB,5,,150,170.3,177,202.5,-27,188,243.4,-73.1,2,72.2,,
151,,,No,FALSE,Ray Davis,RB,BUF,7,,151,169.1,128,139.0,23,164,166.7,2.4,9,87.1,,
152,,,No,FALSE,Jack Bech,WR,LV,8,,152,153.5,200,151.0,-48,119,164.9,-11.5,0,73.7,,
153,,,No,FALSE,Wan'Dale Robinson,WR,NYG,14,,153,169.1,188,181.5,-35,167,193.7,-24.6,0,79.6,,
